Название,Жанр,Режиссер,Страна,Год,qw
К востоку от Суэца,мелодрама,Рауль Уолш,США,1925,1
К чему-то прекрасному,драма,Лиза Лангсет,Швеция,2010,1
К востоку на Бикон,"Фильм нуар, Шпионский фильм",Альфред Л. Веркер,США,1952,1
К звёздам (фильм),"фантастика, триллер, драма, приключения",Джеймс Грэй,США,"18 сентября, 2019, 20 сентября, 2019, 19 сентября, 2019, 29 августа, 2019",1
К вам пришёл ангел,мелодрама,Николай Глинский,Россия,2004,1
К бою готовы,"баддимуви, комедийный фильм",Брайан Роббинс,США,2000,1
К лучшему,трагикомедия,Джон Пэдди Карстэйрс,Великобритания,1955,1
Наблюдатели: Возрождение,триллер,Джон Карл Бюхлер,США,1998,1
"Наблюдатели (фильм, 2024)",фильм ужасов о сверхъестественном,Ишана Найт Шьямалан,США,"7 июля, 2024",2
Наблюдатели 3,"фантастика, фильм ужасов",Джереми Стэнфорд,"США, Перу",1994,1
"Набережная Орфевр, 36","боевик, криминальный фильм, драма, триллер",Оливье Маршаль,Франция,2004,1
Набег Ульзаны,"вестерн, военный фильм",Роберт Олдрич,США,1972,1
Набережная Орсе (фильм),комедия,Бертран Тавернье,Франция,2013,1
Наберите 1119,Фильм нуар,Джеральд Майер,США,1950,1
"Набат (фильм, 1983)",боевик,Владимир Златоустовский,СССР,1983,1
Набережная туманов,"криминальная, мелодрама",Марсель Карне,Франция,1938,1
Наблюдатели 2,"фильм ужасов, фантастика",Тьерри Ноц,США,1990,1
